month,新北市,臺北市,臺中市,臺南市,高雄市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
94年 2月,94,45,22,32,33,23,35,16,5,16,63,8,4,22,39,9,3,12,3,8,2,0
94年 3月,96,42,29,35,44,50,30,19,3,10,37,16,7,15,10,5,2,14,6,2,1,2
94年 4月,90,36,24,29,27,47,30,9,4,16,19,12,0,6,8,11,4,23,5,7,2,1
94年 5月,61,31,22,16,40,18,28,12,5,13,10,11,3,6,3,8,2,14,7,8,2,2
94年 6月,86,35,17,21,37,13,31,10,3,7,8,10,4,5,1,5,1,22,6,7,2,0
94年 7月,87,43,24,38,49,28,32,6,3,17,20,11,8,6,6,5,6,15,6,8,0,3
94年 8月,77,32,15,27,39,19,42,6,4,18,21,11,6,5,6,6,10,13,8,11,2,4
94年 9月,73,34,12,42,23,11,34,6,2,20,18,15,7,10,19,5,9,10,6,8,2,5
94年 10月,75,29,24,47,42,12,26,16,2,14,39,14,3,11,21,3,10,8,5,9,2,4
94年 11月,78,25,20,42,30,17,33,4,6,11,43,16,10,11,24,1,6,6,7,11,3,1
94年 12月,74,29,23,36,36,19,41,8,4,20,50,23,10,8,68,4,8,6,8,16,3,2
95年,785,360,215,279,362,278,355,116,43,177,312,126,59,89,212,51,86,127,73,58,21,34
95年 1月,86,38,19,34,35,26,45,10,6,17,28,11,7,12,16,3,6,12,5,8,0,0
95年 2月,53,26,17,34,26,22,28,15,4,12,82,10,6,6,23,10,8,9,2,5,4,6
95年 3月,75,39,15,43,26,34,21,12,5,16,60,11,0,9,16,5,19,5,3,3,3,5
95年 4月,84,27,23,37,24,42,26,5,3,13,28,11,5,9,24,4,20,5,8,5,2,0
95年 5月,75,19,22,12,41,18,28,5,3,11,14,8,3,6,8,5,1,12,4,3,2,1
95年 6月,48,30,29,10,39,18,27,8,4,16,14,17,1,5,7,5,2,14,7,4,0,0
95年 7月,57,37,11,10,30,26,29,17,4,9,12,10,1,7,15,5,8,19,10,10,3,1
95年 8月,74,32,15,18,26,24,34,13,5,17,18,12,3,4,19,5,3,12,6,2,0,1
95年 9月,56,33,11,18,31,16,25,7,1,12,10,6,5,8,3,3,5,10,6,5,1,6
95年 10月,65,24,14,21,35,16,34,10,1,18,14,8,11,11,17,2,8,12,9,4,4,8
95年 11月,53,28,14,20,22,16,22,6,2,17,10,9,12,3,30,1,2,8,6,5,1,3
95年 12月,59,27,25,22,27,20,36,8,5,19,22,13,5,9,34,3,4,9,7,4,1,3
96年,426,309,227,234,246,134,375,97,41,140,240,92,55,86,195,36,50,74,80,41,17,22
96年 1月,43,32,18,28,39,11,33,13,5,8,27,10,3,7,18,6,4,4,10,7,2,3
96年 2月,40,24,16,19,35,10,29,9,3,13,26,7,8,7,21,2,6,7,8,3,2,3
96年 3月,45,23,20,20,28,13,28,6,6,14,31,10,8,8,15,3,10,8,5,5,0,0
96年 4月,49,20,20,19,13,9,37,7,2,13,16,5,2,6,23,4,7,8,10,6,2,1
96年 5月,39,26,13,11,18,6,29,4,3,14,30,4,2,4,8,3,2,9,7,7,1,1
96年 6月,34,22,25,12,17,10,33,5,3,11,11,8,3,14,8,3,1,9,5,0,0,2
96年 7月,35,17,16,24,17,9,51,7,1,10,16,7,3,12,13,3,4,14,9,1,1,2
96年 8月,34,34,21,31,16,9,21,7,5,10,9,11,4,3,16,2,4,6,5,5,2,1
96年 9月,28,24,19,24,10,15,18,12,2,16,18,7,2,3,5,2,1,2,7,2,0,1
96年 10月,26,26,15,24,14,15,35,9,4,18,21,13,3,9,15,3,5,2,6,0,3,2
96年 11月,24,34,22,14,18,9,31,9,3,5,14,7,6,5,26,3,4,3,3,2,2,6
96年 12月,29,27,22,8,21,18,30,9,4,8,21,3,11,8,27,2,2,2,5,3,2,0
97年,331,309,161,190,208,136,303,98,34,130,199,108,48,81,174,34,42,63,54,45,20,19
97年 1月,33,40,15,13,21,11,35,7,2,7,25,7,3,7,15,4,3,5,8,3,1,1
97年 2月,31,34,16,8,20,11,37,13,4,6,19,17,3,10,18,2,4,6,3,5,0,1
97年 3月,23,31,14,20,14,13,28,10,6,15,21,10,8,6,12,2,9,3,5,6,0,2
97年 4月,32,16,10,9,13,8,17,7,1,5,9,6,1,7,17,2,7,4,6,4,0,0
97年 5月,28,15,13,24,14,12,19,9,5,18,14,10,3,9,6,2,2,3,5,4,2,0
97年 6月,32,21,13,11,18,10,26,7,4,13,10,11,2,3,5,3,1,6,3,3,2,1
97年 7月,27,26,10,11,14,9,20,7,2,12,15,5,3,6,16,5,1,10,3,4,1,0
97年 8月,27,24,11,18,13,13,20,10,2,11,19,8,3,7,20,3,1,4,5,7,3,1
97年 9月,30,22,17,25,11,11,19,9,5,15,13,9,4,7,10,3,1,8,5,3,5,1
97年 10月,24,24,9,12,25,11,23,7,0,6,10,9,4,8,10,3,3,5,4,2,1,4
97年 11月,18,28,18,20,26,14,28,6,2,7,15,5,8,7,19,2,6,5,3,1,1,6
97年 12月,26,28,15,19,19,13,31,6,1,15,29,11,6,4,26,3,4,4,4,3,4,2
98年,272,251,124,159,177,87,241,79,35,116,185,81,33,61,172,28,41,51,50,31,19,20
98年 1月,29,32,13,27,22,12,34,12,6,13,22,13,9,7,22,3,4,11,8,2,3,1
98年 2月,18,23,12,12,17,10,22,7,2,4,22,6,1,4,20,1,3,6,1,2,3,1
98年 3月,22,16,7,9,16,10,22,5,1,13,18,5,1,4,12,3,8,6,5,5,0,3
98年 4月,18,24,8,11,13,6,23,7,2,13,11,5,3,6,15,3,7,0,5,0,3,1
98年 5月,29,22,5,8,16,6,25,4,4,7,13,5,1,7,7,2,1,5,2,6,2,3
98年 6月,19,15,9,8,15,6,14,5,2,8,10,6,4,4,10,2,1,2,4,0,2,1
98年 7月,18,24,14,14,4,7,21,4,3,8,10,5,3,3,9,1,2,2,3,2,0,1
98年 8月,16,16,13,7,12,8,12,2,2,6,12,5,2,4,16,3,2,7,2,4,2,3
98年 9月,25,19,13,15,12,7,20,10,7,14,15,8,4,5,10,3,2,5,5,2,2,0
98年 10月,24,20,11,19,11,6,10,8,0,11,13,9,0,5,12,1,2,5,5,6,0,5
98年 11月,30,22,10,13,15,3,18,7,5,11,15,8,4,8,20,2,5,0,5,1,1,1
98年 12月,24,18,9,16,24,6,20,8,1,8,24,6,1,4,19,4,4,2,5,1,1,0
99年,242,236,100,146,131,56,232,73,30,127,159,82,39,74,179,23,40,55,55,39,10,14
99年 1月,25,23,9,13,11,8,19,5,6,14,16,7,4,7,16,2,4,3,10,2,0,1
99年 2月,22,23,6,15,12,10,17,9,0,10,18,5,1,9,22,2,3,7,4,4,2,2
99年 3月,26,23,19,19,12,8,23,4,2,7,31,7,4,13,20,3,7,4,3,7,3,0
99年 4月,18,8,7,18,18,5,24,6,5,11,6,7,1,9,20,3,5,7,6,5,0,1
