時間地點,消防員因公傷亡,消防車,救災車,消防勤務車,救護車輛,消防人力總計,土地面積(平方公里),人口數(人),消防車/土地面積(平方公里),消防車/人口數(人),救災車/土地面積(平方公里),救災車/人口數(人),消防勤務車/土地面積(平方公里),消防勤務車/人口數(人),救護車輛/土地面積(平方公里),救護車輛/人口數(人),消防人力總計/土地面積(平方公里),消防人力總計/人口數(人)
95年花蓮縣,1,50,11,73,19,149,4628.5714,345303,0.010802469202484379,0.00014480036373851372,0.0023765432245465633,3.185608002247302e-05,0.015771605035627193,0.00021140853105823003,0.004104938296944064,5.502413822063521e-05,0.032191358223403445,0.00043150508394077083,
99年臺東縣,3,41,17,96,24,176,3515.2526,230673,0.011663457698601802,0.00017774078457383395,0.0048360678262495274,7.369739848183359e-05,0.027309559489409097,0.00041617354436800146,0.006827389872352274,0.00010404338609200036,0.050067525730583345,0.000762984831341336,
101年澎湖縣,0,29,12,86,14,158,126.8641,98843,0.22859106713404345,0.0002933945752354744,0.094589407089949,0.00012140465182157563,0.6778907508113012,0.0008700666713879586,0.11035430827160718,0.0001416387604585049,1.2454271933509953,0.0015984945823174124,
97年金門縣,0,21,10,23,10,71,151.656,84570,0.1384712771008071,0.0002483150053210358,0.06593870338133671,0.00011824524062906468,0.1516590177770744,0.00027196405344684875,0.06593870338133671,0.00011824524062906468,0.4681647940074906,0.0008395412084663593,
94年臺中市,16,179,76,227,74,744,2214.8968,2566220,0.08081640643482803,6.975239846934402e-05,0.03431311111199402,2.9615543484190754e-05,0.10248784503187688,8.845695224883291e-05,0.033410134503783655,2.8836187076712052e-05,0.33590729825425725,0.00028992058358207794,
99年連江縣,0,9,3,15,8,27,28.8,9944,0.3125,0.0009050683829444891,0.10416666666666666,0.00030168946098149636,0.5208333333333334,0.0015084473049074819,0.2777777777777778,0.0008045052292839903,0.9375,0.0027152051488334673,
102年宜蘭縣,1,55,35,21,28,216,2143.6251,458456,0.025657471542015437,0.00011996789222957055,0.01632748189037346,7.634320414609036e-05,0.009796489134224077,4.5805922487654216e-05,0.013061985512298768,6.107456331687228e-05,0.10076388823773336,0.0004711466313015862,
99年嘉義市,3,35,13,70,16,212,60.0256,272390,0.5830845505917476,0.00012849223539777524,0.21657426164836338,4.772568743345938e-05,1.1661691011834951,0.00025698447079555047,0.26655293741337033,5.873930761041154e-05,3.531826420727157,0.000778295825837953,
95年連江縣,0,12,5,21,7,24,28.8,9786,0.41666666666666663,0.001226241569589209,0.1736111111111111,0.0005109339873288372,0.7291666666666666,0.002145922746781116,0.24305555555555555,0.000715307582260372,0.8333333333333333,0.002452483139178418,
94年臺北市,33,242,81,413,70,1467,271.7997,2616375,0.8903615419737403,9.249438631694615e-05,0.2980135739664172,3.0958864841622474e-05,1.5195013092361767,0.0001578519898714825,0.25754259478579267,2.675457455448856e-05,5.397356950725111,0.000560699441020496,
97年花蓮縣,2,45,17,82,19,219,4628.5714,341433,0.00972222228223594,0.00013179745367319502,0.0036728395288446888,4.979014916542924e-05,0.01771604949207438,0.00024016424891559984,0.004104938296944064,5.564781377312679e-05,0.047314815106881576,0.0006414142745428826,
102年連江縣,0,12,4,16,6,31,28.8,12165,0.41666666666666663,0.0009864364981504315,0.1388888888888889,0.00032881216605014385,0.5555555555555556,0.0013152486642005754,0.20833333333333331,0.0004932182490752158,1.0763888888888888,0.002548294286888615,
102年基隆市,5,36,32,51,18,233,132.7589,374914,0.27116826065898403,9.602202105016084e-05,0.24103845391909692,8.535290760014297e-05,0.3841550359335607,0.00013603119648772786,0.13558413032949201,4.801101052508042e-05,1.7550612425984244,0.0006214758584635409,
95年新竹縣,11,52,15,72,29,273,1427.5369,487692,0.03642637889080135,0.00010662467294932047,0.010507609295423466,3.075711719691937e-05,0.050436524618032635,0.00014763416254521297,0.020314711304485367,5.946375991404411e-05,0.19123848917670708,0.0005597795329839324,
102年桃園縣,30,162,51,251,96,1024,1220.954,2044023,0.13268313138742327,7.92554682603865e-05,0.04177061543678141,2.495079556345501e-05,0.205576950482983,0.0001227970526750433,0.07862704082217677,4.696620341356237e-05,0.8386884354365521,0.0005009728364113319,
95年南投縣,0,81,37,102,25,318,4106.436,535205,0.019725133911742448,0.00015134387757961902,0.00901024635474655,6.91323885240235e-05,0.024839057518490488,0.00019058117917433506,0.006088004293747669,4.671107332704291e-05,0.07743941461647035,0.0005941648527199858,
100年連江縣,0,12,4,16,6,32,28.8,10106,0.41666666666666663,0.001187413417771621,0.1388888888888889,0.00039580447259054025,0.5555555555555556,0.001583217890362161,0.20833333333333331,0.0005937067088858105,1.1111111111111112,0.003166435780724322,
99年嘉義縣,2,58,21,85,33,390,1903.6367,543248,0.030467998436886617,0.00010676523429446588,0.011031516675424465,3.865637793420316e-05,0.044651377019575215,0.00015646629163844139,0.01733524048995273,6.074573675374783e-05,0.20487102397216864,0.0007179041616352016,
97年澎湖縣,0,29,11,77,16,157,126.8641,93308,0.22859106713404345,0.0003107986453465941,0.08670695649911993,0.00011788914133836326,0.6069486954938395,0.0008252239893685429,0.12611920945326535,0.00017147511467398294,1.2375447427601662,0.0016825995627384575,
98年澎湖縣,0,28,12,79,15,161,126.8641,96210,0.22070861654321436,0.0002910300384575408,0.094589407089949,0.00012472715933894605,0.6227135966754976,0.0008211204656480615,0.11823675886243627,0.00015590894917368256,1.2690745451234826,0.0016734227211308596,
101年南投縣,0,93,67,96,32,378,4106.436,520196,0.02264737597274133,0.0001787787680028297,0.016315851507243753,0.00012879760705580205,0.02337793648799105,0.00018454582503517905,0.007792645495997016,6.151527501172635e-05,0.09205062492146475,0.0007266491860760176,
102年苗栗縣,3,70,57,144,27,354,1820.3149,565554,0.03845488492128477,0.0001237724425961093,0.031313263435903314,0.00010078613182826043,0.07910719183807154,0.00025461759619771056,0.014832598469638412,4.774079928707073e-05,0.19447184660192585,0.0006259349239860385,
96年基隆市,0,41,29,57,18,200,132.7589,390397,0.30883051908384296,0.00010502129883170208,0.2184410988641816,7.428335771022831e-05,0.4293497460433914,0.00014600522032700045,0.13558413032949201,4.610691168221067e-05,1.5064903369943559,0.0005122990186912297,
95年嘉義縣,0,57,18,88,29,352,1901.675,553841,0.029973575926485863,0.00010291762437233791,0.009465339766258693,3.250030243336987e-05,0.04627499441282028,0.00015889036745203046,0.015249714067861228,5.236159836487367e-05,0.1850999776512811,0.0006355614698081219,
99年花蓮縣,0,46,19,79,22,227,4628.5714,338805,0.009938271666285628,0.00013577131388261684,0.004104938296944064,5.607945573412435e-05,0.017067901339925317,0.00023317247384188546,0.0047530864490931265,6.49341066395124e-05,0.049043210179279075,0.0006700019185076962,
96年嘉義縣,0,56,19,87,32,362,1901.675,551345,0.02944772371724927,0.00010156979749521624,0.009991191975495287,3.4461181293019795e-05,0.045749142203583684,0.00015779593539435381,0.01682727069557101,5.8039884282980713e-05,0.19035849974364705,0.0006565761909512193,
102年雲林縣,8,73,51,48,42,374,1290.8326,707792,0.05655264671809498,0.00010313764495784073,0.0395093833236006,7.205506702534078e-05,0.037185301951624096,6.781653367090897e-05,0.03253713920767108,5.933946696204535e-05,0.2897354777064044,0.000528403824852499,
95年彰化縣,3,88,15,120,51,430,1074.396,1315034,0.08190648513211143,6.691842188110725e-05,0.013961332692973541,1.1406549184279647e-05,0.11169066154378833,9.125239347423717e-05,0.04746853115611004,3.87822672265508e-05,0.4002248705319082,0.00032698774328268317,
99年雲林縣,8,60,44,47,30,363,1290.8326,717653,0.04648162743953012,8.360586523013211e-05,0.03408652678898875,6.131096783543021e-05,0.03641060816096526,6.549126109693682e-05,0.02324081371976506,4.1802932615066056e-05,0.2812138460091572,0.0005058154846422992,
95年臺中市,4,182,87,211,82,820,2214.8968,2587828,0.08217087134714358,7.032924908456048e-05,0.03927948245715105,3.361892676020199e-05,0.09526403216619393,8.153555800462781e-05,0.03702204093662513,3.1686804532604174e-05,0.3702204093662513,0.00031686804532604174,
99年桃園縣,31,166,36,219,101,965,1220.954,2002060,0.1359592580883473,8.291459796409698e-05,0.029485140308316286,1.798147907655115e-05,0.17936793687559074,0.00010938733104901951,0.0827221991983318,5.0448038520324065e-05,0.7903655665979227,0.00048200353635755174,
99年南投縣,0,92,65,100,29,379,4106.436,526491,0.02240385580099142,0.00017474182844531055,0.01582881116374394,0.0001234589005320129,0.024352017174990675,0.0001899367700492506,0.007062084980747296,5.5081663314282675e-05,0.09229414509321465,0.0007198603584866597,
98年連江縣,0,10,2,13,8,28,28.8,9919,0.3472222222222222,0.0010081661457808247,0.06944444444444445,0.00020163322915616494,0.4513888888888889,0.001310615989515072,0.2777777777777778,0.0008065329166246597,0.9722222222222222,0.0028228652081863093,
100年澎湖縣,0,29,13,88,14,157,126.8641,97157,0.22859106713404345,0.00029848595572115236,0.1024718576807781,0.00013380404911637864,0.6936556519929594,0.0009057504863262554,0.11035430827160718,0.000144096668279177,1.2375447427601662,0.0016159412085593422,
101年嘉義縣,3,59,56,68,33,383,1903.6367,533723,0.030993308754763974,0.00011054423361931189,0.029417377801131905,0.00010492334038443163,0.035721101615660174,0.00012740691332395267,0.01733524048995273,6.182982558368293e-05,0.20119385174702714,0.0007176007029863806,
96年高雄市,4,247,75,188,113,1191,2946.2671,2764868,0.08383489738591589,8.933518706860508e-05,0.025455940501796323,2.7126068947957008e-05,0.06380955752450279,6.799601282954558e-05,0.03835361702270646,4.086994388158856e-05,0.40424033516852564,0.0004307619748935573,
100年宜蘭縣,0,51,35,21,26,206,2143.6251,459061,0.023791473611687042,0.00011109634667288225,0.01632748189037346,7.624259085393881e-05,0.009796489134224077,4.574555451236328e-05,0.01212898654713457,5.663735320578311e-05,0.09609889341191237,0.00044874210616889694,
95年嘉義市,13,35,11,67,14,198,60.0256,272364,0.5830845505917476,0.0001285045013291037,0.18325514447169208,4.0387128989146876e-05,1.1161904254184882,0.0002459943311157128,0.23323382023669903,5.140180053164148e-05,3.2985926004904575,0.0007269683218046437,
96年花蓮縣,1,44,21,75,19,195,4628.5714,343302,0.009506172898186253,0.0001281670366033405,0.004537037065043439,6.117063110613979e-05,0.016203703803726568,0.00021846653966478495,0.004104938296944064,5.5344856715078854e-05,0.042129629889689074,0.0005680130031284409,
95年新竹市,0,37,12,69,15,199,104.1526,394757,0.35524797268623154,9.372854692887016e-05,0.11521555870904807,3.039844765260654e-05,0.6624894625770263,0.0001747910740024876,0.1440194483863101,3.7998059565758173e-05,1.9106580152583803,0.0005041075902390584,
99年金門縣,0,23,11,22,10,71,151.656,97364,0.1516590177770744,0.00023622694219629432,0.07253257371947038,0.00011297810278953207,0.14506514743894075,0.00022595620557906414,0.06593870338133671,0.00010270736617230188,0.4681647940074906,0.0007292222998233433,
96年嘉義市,3,35,12,70,13,203,60.0256,273075,0.5830845505917476,0.00012816991668955415,0.19991470306002773,4.3943971436418566e-05,1.1661691011834951,0.0002563398333791083,0.21657426164836338,4.7605969056120113e-05,3.3818903934321356,0.0007433855167994141,
101年臺北市,0,260,86,303,78,1625,271.7997,2673226,0.9565867806329441,9.726076283860774e-05,0.3164094735939738,3.2170867708154865e-05,1.114791517429931,0.00011334619669268517,0.28697603418988327,2.9178228851582322e-05,5.978667378955901,0.0006078797677412983,
101年臺中市,2,205,156,224,103,1159,2214.8968,2684893,0.09255510234156282,7.635313586053523e-05,0.07043217544040878,5.810287411826095e-05,0.10113338011956133,8.34297679646824e-05,0.046503295322834,3.8362795090903065e-05,0.5232749444579088,0.0004316745583529772,
101年新竹縣,13,65,28,105,38,336,1427.5369,523993,0.045532973613501684,0.00012404745864925677,0.019614204018123804,5.3435828341218296e-05,0.07355326506796427,0.00020038435627956863,0.02661927688173945,7.252005274879626e-05,0.23537044821748565,0.0006412299400946196,
95年澎湖縣,0,22,11,75,13,158,126.8641,91785,0.17341391299823986,0.00023969058124965952,0.08670695649911993,0.00011984529062482976,0.5911837943121814,0.0008171269815329302,0.1024718576807781,0.0001416353434657079,1.2454271933509953,0.001721414174429373,
96年臺東縣,2,46,15,90,23,155,3515.2526,233660,0.013085830588675193,0.00019686724300265344,0.004267118670220171,6.41958401095609e-05,0.025602712021321028,0.0003851750406573654,0.006542915294337597,9.843362150132672e-05,0.04409355959227511,0.0006633570144654626,
100年桃園縣,26,163,38,232,102,1015,1220.954,2013305,0.13350216306265428,8.096140425817251e-05,0.0311232036587783,1.8874437802518745e-05,0.19001534865359385,0.00011523340974169339,0.08354123087356281,5.066296462781347e-05,0.8313171503594731,0.0005041461676199085,
96年新竹市,0,38,17,66,17,211,104.1526,399035,0.36484926924531885,9.522974175197665e-05,0.16322204150448474,4.2602779204831656e-05,0.6336855728997643,0.00016539902514816997,0.16322204150448474,4.2602779204831656e-05,2.0258735739674285,0.0005287756713070282,
95年高雄市,2,244,72,200,102,1155,2946.2671,2760180,0.08281665976584404,8.840003188197871e-05,0.02443770288172447,2.608525530943634e-05,0.06788250800479019,7.245904252621206e-05,0.034620079082443,3.695411168836815e-05,0.3920214837276634,0.00041845097058887463,
101年嘉義市,0,36,14,69,17,211,60.0256,271220,0.5997441091800831,0.00013273357422019025,0.23323382023669903,5.1618612196740655e-05,1.1495095425951594,0.00025440601725536466,0.28321249600170595,6.26797433817565e-05,3.515166862138821,0.0007779662266794484,
96年臺南市,11,165,35,183,66,772,2191.6531,1870061,0.07528563712934315,8.823241594792898e-05,0.015969680603194,1.871596701925766e-05,0.08349861572527148,9.785777041497577e-05,0.030114254851737257,3.529296637917159e-05,0.3522455264475934,0.0004128207582533404,
100年金門縣,0,26,9,18,10,69,151.656,103883,0.17144062879147542,0.0002502815667626079,0.05934483304320304,8.663592695628736e-05,0.11868966608640608,0.00017327185391257473,0.06593870338133671,9.626214106254151e-05,0.4549770533312233,0.0006642087733315364,
94年新竹縣,11,52,11,76,28,257,1427.5931,477677,0.03642494489501245,0.00010886017120355387,0.0077052768047141725,2.3028113139213317e-05,0.05323645792347974,0.00015910332714365566,0.019613431866545166,5.861701526345208e-05,0.18002328534650383,0.0005380204615252567,
100年臺北市,0,261,70,304,78,1644,271.7997,2650968,0.9602659605584555,9.845460224340693e-05,0.25754259478579267,2.640544887754209e-05,1.1184706973554424,0.0001146750922681828,0.28697603418988327,2.94232144635469e-05,6.048571797540616,0.0006201508279239886,
94年嘉義縣,0,53,14,86,28,349,1901.675,557101,0.027870167089539485,9.513535247648092e-05,0.007361930929312317,2.513009310699496e-05,0.04522328999434709,0.00015437057194296906,0.014723861858624634,5.026018621398992e-05,0.18352242102357133,0.0006264573210243744,
